violator_id,violation_count
2145344765,6
2808125286,6
1680121698,6
1610536652,6
2253930166,5
2409313088,5
1731330800,5
2744415526,5
1331623681,5
2171991551,5
2524226812,5
1771142656,5
2680749730,5
2023685974,5
2422259966,5
1293829278,5
1068120451,5
2224655392,5
1798545484,5
2807573290,5
1222143619,5
2117711744,5
2869342361,5
1593458767,5
2153828389,5
2245268321,5
1316736019,5
2403545148,5
1376939940,5
1695282909,5
2356387283,5
1517966233,5
1686634597,5
2162922992,5
2099098814,5
2979727513,5
1855487049,5
1511129161,5
2594043128,5
2839789957,5
2146194781,5
2883621243,5
1266694198,5
2045686769,5
2198996169,5
1760907327,5
2341906027,5
2832603199,5
1887855563,5
1262968462,5
1574339610,5
1988897775,5
2816904410,5
1421372050,5
1580673742,5
2701228917,5
2374679214,5
1064935319,5
2475999596,5
2149293610,5
2996849918,5
1434565387,5
1005049569,5
1519946570,5
2627077972,5
1641218159,5
2017415144,5
1289053017,5
2474933816,5
1379475195,5
2303282769,5
2905024896,5
1834377891,5
2530170944,5
2720332887,5
1699639508,5
2823797432,5
2859372484,5
2540732473,5
1824604893,5
2098683007,5
1560907312,5
1944188227,5
1138171893,5
2798112046,5
2400912007,4
1445259334,4
2087780924,4
2144058551,4
1447143715,4
2889450827,4
2619108069,4
2210261805,4
2585417772,4
1282594256,4
1682392728,4
2138197770,4
2489912052,4
2892634490,4
2826305853,4
1075933698,4
1960753741,4
1674425260,4
1741177962,4
2245925300,4
1126062316,4
2930900754,4
2241804187,4
1525176463,4
1836929436,4
1777289439,4
2688860120,4
2932718718,4
1943458018,4
2320454318,4
1963543456,4
2992337123,4
1551334113,4
1178883883,4
1857725313,4
1784235689,4
1195125139,4
2397766395,4
1193394174,4
1682006161,4
2746758464,4
2206110655,4
2359849000,4
2030829650,4
2984191014,4
2664618958,4
1686527499,4
1297162419,4
2064714536,4
2635439222,4
1518628367,4
2395021630,4
2108885178,4
1248280504,4
1543377810,4
1425231092,4
1634984212,4
1885675098,4
1876863356,4
2707737728,4
2717514523,4
2486981625,4
2315084445,4
1235513502,4
2118702468,4
1447193500,4
1581250621,4
2016587727,4
1063971563,4
2210314648,4
2413203928,4
2252617158,4
2541730072,4
2717294438,4
1263271136,4
1053347302,4
1435716949,4
2292324328,4
1689289222,4
1519267339,4
1322748639,4
2748293998,4
2441938935,4
2982428788,4
1801339334,4
1681113661,4
2819773377,4
2526413496,4
2933614267,4
2026640887,4
1318241451,4
1714595617,4
2494536745,4
1484275334,4
2028405855,4
1183340702,4
1656666161,4
2371421420,4
2196795969,4
1120244766,4
1904762654,4
2386834005,4
2646941393,4
1802294766,4
1057435150,4
1580462016,4
2015118662,4
2900377986,4
1117267519,4
