city,price,app_name,latitude,longitude
الظهران,1.0,Hungerstation,26.417160034179688,50.088069915771484
عرعر,34.5,ToYou,30.99091734073587,41.014970652759075
عرعر,1.0,Hungerstation,30.96237591475044,41.044958755373955
عرعر,1.0,Hungerstation,30.99909210205078,41.08129119873047
رفحاء,82.0,Jahez,29.642062977858714,43.54130644351245
سكاكا,38.0,ToYou,29.855525936892064,40.21743223071098
الرياض,1.0,Hungerstation,24.809576503756542,46.82602442800999
الرياض,1.0,Hungerstation,24.807302474975586,46.63227081298828
الرياض,,Hungerstation,24.554249605888,46.6275523602962
الرياض,1.0,Hungerstation,24.68400109256311,46.708672754466534
جازان,1.0,Hungerstation,16.909840477047968,42.56840821355582
عرعر,,Mrsool,30.99,41.02
عرعر,122.0,Jahez,31.00502866568614,41.128195747733116
الأحساء,,Jahez,25.379599283914875,49.548609405756
الرياض,113.75,Mrsool,24.56,46.71
المدينة المنورة,,Keeta,24.494,39.488
حائل,63.0,ToYou,27.468738628184376,41.71465102583169
عرعر,1.0,Hungerstation,30.985542526906478,41.00842271000147
عرعر,27.0,Jahez,30.986088644805793,41.05654120445251
سكاكا,1.0,Hungerstation,29.96738052368164,40.195194244384766
رفحاء,1.0,Hungerstation,29.645084381103516,43.529075622558594
دومة الجندل,1.0,Hungerstation,29.81517883069182,39.839583076536655
دومة الجندل,99.0,ToYou,29.813215548319455,39.84473694115877
جدة,41.0,Jahez,21.52757677171441,39.16837904602289
سكاكا,1.0,Mrsool,29.92,40.17
حائل,1.0,Jahez,27.67967222556991,41.69872909784317
الظهران,2.0,Keeta,26.275,50.198
البدائع,1.0,Hungerstation,25.967496915578856,43.70982460677624
سكاكا,1.0,Hungerstation,29.96163558959961,40.21527862548828
سكاكا,45.0,ToYou,29.96900689380928,40.215665996074684
سكاكا,1.0,Hungerstation,29.924793243408203,40.185550689697266
القريات,,ToYou,31.32352938395022,37.333488911390305
مكة المكرمة,103.0,ToYou,21.435010271465817,39.796891026198864
المدينة المنورة,108.5,ToYou,24.517450902804867,39.691764526069164
