violation_date,paid_violations,unpaid_violations
1383-08-17,1,0
1383-08-19,1,0
1383-08-21,1,0
1383-08-22,1,0
1383-08-23,1,0
1383-08-26,2,0
1383-08-27,1,0
1383-09-01,2,0
1383-09-03,2,0
1383-09-05,1,0
1383-09-14,1,0
1383-09-23,1,0
1383-09-25,1,0
1383-09-27,1,0
1383-09-28,2,0
1383-09-29,1,0
1383-10-01,1,0
1383-10-04,1,0
1383-10-09,1,0
1383-10-11,1,0
1383-10-17,1,0
1383-10-18,1,0
1383-10-19,1,0
1383-10-21,1,0
1383-10-25,1,0
1383-10-29,1,0
1383-11-02,1,0
1383-11-03,2,0
1383-11-10,2,0
1383-11-11,1,0
1383-11-12,2,0
1383-11-13,1,0
1383-11-15,1,0
1383-11-20,2,0
1383-11-25,1,0
1383-11-30,1,0
1383-12-05,1,0
1383-12-06,1,0
1383-12-07,1,0
1383-12-08,1,0
1383-12-09,1,0
1383-12-13,1,0
1383-12-14,1,0
1383-12-15,2,0
1383-12-17,3,0
1383-12-20,1,0
1383-12-22,1,0
1383-12-26,1,0
1383-12-27,1,0
1383-12-28,1,0
1383-12-29,1,0
1384-01-04,2,0
1384-01-05,1,0
1384-01-09,1,0
1384-01-12,1,0
1384-01-14,1,0
1384-01-15,1,0
1384-01-17,1,0
1384-01-18,1,0
1384-01-19,1,0
1384-01-21,1,0
1384-01-23,1,0
1384-01-25,1,0
1384-01-28,1,0
1384-01-29,1,0
1384-02-03,1,0
1384-02-05,1,0
1384-02-08,1,0
1384-02-11,1,0
1384-02-12,2,0
1384-02-16,2,0
1384-02-18,1,0
1384-02-22,1,0
1384-02-24,1,0
1384-02-26,2,0
1384-02-28,1,0
1384-03-01,2,0
1384-03-05,2,0
1384-03-07,2,0
1384-03-08,1,0
1384-03-12,2,0
1384-03-13,1,0
1384-03-16,2,0
1384-03-19,1,0
1384-03-22,1,0
1384-03-24,1,0
1384-03-27,1,0
1384-03-28,1,0
1384-04-06,1,0
1384-04-07,2,0
1384-04-09,1,0
1384-04-13,2,0
1384-04-14,1,0
1384-04-17,1,0
1384-04-22,1,0
1384-04-23,2,0
1384-04-27,2,0
1384-04-28,1,0
1384-05-02,1,0
1384-05-08,2,0
1384-05-09,1,0
1384-05-13,1,0
1384-05-15,1,0
1384-05-16,1,0
1384-05-19,1,0
1384-05-20,1,0
1384-05-22,1,0
1384-05-23,1,0
1384-05-24,1,0
1384-05-30,1,0
1384-06-01,2,0
1384-06-02,2,0
1384-06-06,1,0
1384-06-07,1,0
1384-06-09,1,0
1384-06-11,1,0
1384-06-12,1,0
1384-06-13,1,0
1384-06-18,1,0
1384-06-21,1,0
1384-06-22,1,0
1384-06-24,1,0
1384-06-25,1,0
1384-06-28,1,0
1384-07-01,2,0
1384-07-05,1,0
1384-07-07,2,0
1384-07-11,4,0
1384-07-13,1,0
1384-07-14,1,0
1384-07-15,1,0
1384-07-16,1,0
1384-07-17,1,0
1384-07-18,1,0
1384-07-24,3,0
1384-07-26,1,0
1384-08-06,2,0
1384-08-07,1,0
1384-08-08,1,0
1384-08-11,1,0
1384-08-12,2,0
1384-08-13,1,0
1384-08-20,2,0
1384-08-22,1,0
1384-08-23,2,0
1384-08-24,1,0
1384-08-29,1,0
1384-09-01,2,0
1384-09-02,1,0
1384-09-03,2,0
1384-09-06,3,0
1384-09-07,2,0
1384-09-09,1,0
1384-09-10,1,0
1384-09-15,1,0
1384-09-16,1,0
1384-09-17,1,0
1384-09-18,1,0
1384-09-20,1,0
1384-09-23,3,0
1384-09-24,2,0
1384-09-25,3,0
1384-09-26,2,0
1384-09-28,2,0
1384-09-29,3,0
1384-09-30,1,0
1384-10-04,1,0
1384-10-05,4,0
1384-10-06,4,0
1384-10-07,2,0
1384-10-08,2,0
1384-10-09,2,0
1384-10-11,2,0
1384-10-15,2,0
1384-10-16,2,0
1384-10-18,1,0
1384-10-19,2,0
1384-10-21,3,0
1384-10-22,1,0
1384-10-23,2,0
1384-10-24,1,0
1384-10-26,1,0
1384-10-29,1,0
1384-11-01,3,0
1384-11-02,1,0
1384-11-03,1,0
1384-11-04,1,0
1384-11-06,1,0
1384-11-07,2,0
1384-11-08,1,0
1384-11-09,1,0
1384-11-12,1,0
1384-11-13,2,0
1384-11-15,4,0
1384-11-16,4,0
1384-11-17,1,0
1384-11-18,1,0
1384-11-20,1,0
1384-11-21,2,0
1384-11-22,1,0
1384-11-23,1,0
1384-11-24,2,0
1384-11-25,1,0
1384-11-27,2,0
1384-11-29,2,0
1384-11-30,1,0
1384-12-04,2,0
1384-12-06,3,0
1384-12-08,1,0
1384-12-09,1,0
1384-12-11,4,0
1384-12-12,1,0
1384-12-13,2,0
1384-12-17,1,0
1384-12-18,1,0
1384-12-19,1,0
1384-12-23,2,0
1384-12-25,1,0
1384-12-27,2,0
1384-12-29,1,0
1385-01-01,1,0
1385-01-02,3,0
1385-01-03,1,0
1385-01-05,1,0
1385-01-09,1,0
1385-01-10,2,0
1385-01-11,1,0
1385-01-15,1,0
1385-01-17,1,0
1385-01-19,2,0
1385-01-20,2,0
1385-01-22,1,0
1385-01-23,2,0
1385-01-24,2,0
1385-01-25,1,0
1385-01-26,2,0
1385-01-29,2,0
1385-01-30,1,0
1385-02-01,1,0
1385-02-04,1,0
1385-02-05,1,0
1385-02-06,2,0
1385-02-09,2,0
1385-02-10,2,0
1385-02-11,1,0
1385-02-12,2,0
1385-02-13,2,0
1385-02-15,1,0
1385-02-16,3,0
1385-02-17,2,0
1385-02-18,1,0
1385-02-19,1,0
1385-02-21,1,0
1385-02-22,2,0
1385-02-25,2,0
1385-02-26,1,0
1385-02-27,1,0
1385-03-01,1,0
1385-03-02,1,0
1385-03-03,1,0
1385-03-05,2,0
1385-03-07,2,0
1385-03-08,1,0
1385-03-09,1,0
1385-03-10,1,0
1385-03-12,1,0
1385-03-13,2,0
1385-03-14,1,0
1385-03-15,2,0
1385-03-17,1,0
1385-03-18,2,0
1385-03-19,1,0
1385-03-20,1,0
1385-03-21,1,0
1385-03-22,1,0
1385-03-23,3,0
1385-03-24,1,0
1385-03-25,1,0
1385-03-26,2,0
1385-03-27,1,0
1385-03-28,1,0
1385-03-29,1,0
1385-03-30,3,0
1385-04-01,2,0
1385-04-03,3,0
1385-04-06,1,0
1385-04-07,3,0
1385-04-08,2,0
1385-04-09,1,0
1385-04-12,1,0
1385-04-14,1,0
1385-04-16,2,0
1385-04-17,2,0
1385-04-18,1,0
1385-04-21,1,0
1385-04-22,1,0
1385-04-23,1,0
1385-04-24,4,0
1385-04-25,3,0
1385-04-26,1,0
1385-04-27,1,0
1385-04-29,4,0
1385-04-30,1,0
1385-05-01,2,0
1385-05-02,2,0
1385-05-06,1,0
1385-05-08,1,0
1385-05-09,3,0
1385-05-11,1,0
1385-05-12,1,0
1385-05-13,2,0
1385-05-14,1,0
1385-05-15,1,0
1385-05-17,1,0
1385-05-18,2,0
1385-05-20,1,0
1385-05-21,1,0
1385-05-22,2,0
1385-05-23,2,0
1385-05-24,3,0
1385-05-28,1,0
1385-05-29,1,0
1385-06-01,1,0
1385-06-03,2,0
1385-06-04,1,0
1385-06-06,3,0
1385-06-07,1,0
1385-06-08,2,0
1385-06-10,1,0
1385-06-11,2,0
1385-06-12,1,0
1385-06-16,2,0
1385-06-17,1,0
1385-06-19,3,0
1385-06-20,1,0
1385-06-21,2,0
1385-06-23,1,0
1385-06-24,1,0
1385-06-25,1,0
1385-06-26,2,0
1385-06-27,1,0
1385-06-28,1,0
1385-06-29,1,0
1385-07-01,4,0
1385-07-02,1,0
1385-07-03,2,0
1385-07-05,3,0
1385-07-12,3,0
1385-07-13,3,0
1385-07-14,1,0
1385-07-17,3,0
1385-07-18,1,0
1385-07-19,1,0
1385-07-21,1,0
1385-07-22,2,0
1385-07-23,3,0
1385-07-24,1,0
1385-07-25,2,0
1385-07-26,2,0
1385-07-27,2,0
1385-07-29,2,0
1385-08-01,2,0
1385-08-02,1,0
1385-08-03,1,0
1385-08-04,2,0
1385-08-06,2,0
1385-08-07,1,0
1385-08-09,1,0
1385-08-13,1,0
1385-08-15,2,0
1385-08-16,2,0
1385-08-17,3,0
1385-08-18,1,0
1385-08-19,4,0
1385-08-23,1,0
1385-08-25,1,0
1385-08-27,1,0
1385-08-28,1,0
1385-08-29,1,0
1385-09-04,2,0
1385-09-06,5,0
1385-09-07,1,0
1385-09-08,2,0
1385-09-09,3,0
1385-09-10,2,0
1385-09-11,4,0
1385-09-12,2,0
1385-09-13,1,0
1385-09-14,1,0
1385-09-15,1,0
1385-09-16,2,0
1385-09-18,4,0
1385-09-19,3,0
1385-09-20,8,0
1385-09-23,2,0
1385-09-26,1,0
1385-09-27,2,0
1385-09-28,2,0
1385-09-29,3,0
1385-09-30,1,0
1385-10-01,3,0
1385-10-02,1,0
1385-10-03,2,0
1385-10-05,3,0
1385-10-06,1,0
1385-10-07,3,0
1385-10-08,1,0
1385-10-09,1,0
1385-10-10,2,0
1385-10-11,3,0
1385-10-12,1,0
1385-10-13,2,0
1385-10-15,4,0
1385-10-16,2,0
1385-10-17,2,0
1385-10-18,1,0
1385-10-19,2,0
1385-10-20,2,0
1385-10-21,3,0
1385-10-22,2,0
1385-10-24,1,0
1385-10-26,1,0
1385-10-27,2,0
1385-10-28,2,0
1385-10-29,2,0
1385-10-30,2,0
1385-11-01,1,0
1385-11-02,4,0
1385-11-03,2,0
1385-11-05,2,0
1385-11-06,4,0
1385-11-07,3,0
1385-11-08,3,0
1385-11-09,4,0
1385-11-10,4,0
1385-11-11,2,0
1385-11-13,2,0
1385-11-14,1,0
1385-11-15,2,0
1385-11-16,1,0
1385-11-17,2,0
1385-11-19,2,0
1385-11-21,1,0
1385-11-23,1,0
1385-11-24,3,0
1385-11-25,2,0
1385-11-26,1,0
1385-11-27,2,0
1385-11-28,3,0
1385-11-29,1,0
1385-12-01,1,0
1385-12-02,3,0
1385-12-03,4,0
1385-12-05,3,0
1385-12-06,1,0
1385-12-07,2,0
1385-12-08,2,0
1385-12-11,3,0
1385-12-13,1,0
1385-12-14,2,0
1385-12-15,1,0
1385-12-16,3,0
1385-12-17,1,0
1385-12-18,2,0
1385-12-19,2,0
1385-12-20,2,0
1385-12-21,2,0
1385-12-22,1,0
1385-12-23,2,0
1385-12-24,1,0
1385-12-25,3,0
1385-12-26,2,0
1385-12-27,2,0
1385-12-28,2,0
1385-12-29,2,0
1386-01-01,1,0
1386-01-02,2,0
1386-01-03,3,0
1386-01-04,1,0
1386-01-05,1,0
1386-01-06,3,0
1386-01-09,1,0
1386-01-10,2,0
1386-01-11,2,0
1386-01-12,3,0
1386-01-13,1,0
1386-01-14,2,0
1386-01-15,1,0
1386-01-16,1,0
1386-01-18,3,0
1386-01-19,1,0
1386-01-20,2,0
1386-01-22,4,0
1386-01-23,4,0
1386-01-26,2,0
1386-01-27,1,0
1386-01-28,1,0
1386-02-01,3,0
1386-02-02,3,0
1386-02-03,1,0
1386-02-04,1,0
1386-02-05,3,0
1386-02-06,3,0
1386-02-07,3,0
1386-02-08,2,0
1386-02-09,1,0
1386-02-10,1,0
1386-02-11,2,0
1386-02-12,2,0
1386-02-13,1,0
1386-02-14,1,0
1386-02-15,2,0
1386-02-16,1,0
1386-02-17,4,0
1386-02-19,1,0
1386-02-20,3,0
1386-02-21,3,0
1386-02-22,5,0
1386-02-23,1,0
1386-02-26,4,0
1386-02-27,1,0
1386-02-28,2,0
1386-02-29,3,0
1386-02-30,1,0
1386-03-01,1,0
1386-03-02,5,0
1386-03-03,1,0
1386-03-04,2,0
1386-03-05,3,0
1386-03-06,3,0
1386-03-10,1,0
1386-03-11,1,0
1386-03-12,2,0
1386-03-13,3,0
1386-03-14,3,0
1386-03-15,2,0
1386-03-16,2,0
1386-03-17,2,0
1386-03-18,2,0
1386-03-19,1,0
1386-03-21,2,0
1386-03-22,1,0
1386-03-23,2,0
1386-03-25,2,0
1386-03-26,3,0
1386-03-27,1,0
1386-03-28,2,0
1386-03-29,2,0
1386-04-01,2,0
1386-04-02,2,0
1386-04-03,3,0
1386-04-04,4,0
1386-04-06,2,0
1386-04-07,2,0
1386-04-08,1,0
1386-04-09,1,0
1386-04-10,1,0
1386-04-11,1,0
1386-04-14,3,0
1386-04-15,2,0
1386-04-16,1,0
1386-04-17,1,0
1386-04-19,2,0
1386-04-20,3,0
1386-04-21,1,0
1386-04-22,2,0
1386-04-23,2,0
1386-04-24,1,0
1386-04-25,4,0
1386-04-26,1,0
1386-04-27,1,0
1386-04-28,3,0
1386-04-29,1,0
1386-05-01,3,0
1386-05-02,2,0
1386-05-04,1,0
1386-05-05,4,0
1386-05-06,2,0
1386-05-09,1,0
1386-05-10,2,0
1386-05-11,1,0
1386-05-13,3,0
1386-05-14,1,0
1386-05-15,3,0
1386-05-16,2,0
1386-05-17,4,0
1386-05-18,3,0
1386-05-19,2,0
1386-05-20,2,0
1386-05-22,2,0
1386-05-23,4,0
1386-05-24,2,0
1386-05-25,2,0
1386-05-26,1,0
1386-05-27,1,0
1386-05-28,1,0
1386-05-30,2,0
1386-06-02,2,0
1386-06-03,2,0
1386-06-04,2,0
1386-06-05,1,0
1386-06-06,3,0
1386-06-08,2,0
1386-06-09,1,0
1386-06-11,3,0
1386-06-12,3,0
1386-06-13,2,0
1386-06-14,2,0
1386-06-16,3,0
1386-06-17,2,0
1386-06-18,1,0
1386-06-19,1,0
1386-06-20,1,0
1386-06-21,1,0
1386-06-24,1,0
1386-06-25,1,0
1386-06-26,1,0
1386-06-27,3,0
1386-06-28,2,0
1386-06-29,1,0
1386-07-01,4,0
1386-07-02,1,0
1386-07-03,2,0
1386-07-04,2,0
1386-07-05,3,0
1386-07-06,7,0
1386-07-07,1,0
1386-07-08,1,0
1386-07-09,4,0
1386-07-10,6,0
1386-07-12,2,0
1386-07-13,2,0
1386-07-14,2,0
1386-07-15,3,0
1386-07-16,2,0
1386-07-17,1,0
1386-07-18,2,0
1386-07-19,1,0
1386-07-20,4,0
1386-07-21,5,0
1386-07-23,1,0
1386-07-24,2,0
1386-07-25,1,0
1386-07-26,2,0
1386-07-27,1,0
1386-07-28,4,0
1386-07-29,2,0
1386-07-30,3,0
1386-08-01,6,0
1386-08-02,3,0
1386-08-03,3,0
1386-08-04,3,0
1386-08-05,3,0
1386-08-06,4,0
1386-08-07,1,0
1386-08-08,3,0
1386-08-09,2,0
1386-08-11,2,0
1386-08-12,2,0
1386-08-13,1,0
1386-08-14,1,0
1386-08-15,1,0
1386-08-16,1,0
1386-08-17,3,0
1386-08-18,3,0
1386-08-21,3,0
1386-08-22,2,0
1386-08-23,1,0
1386-08-25,1,0
1386-08-26,4,0
1386-08-27,1,0
1386-08-28,3,0
1386-08-29,2,0
1386-09-01,1,0
1386-09-02,2,0
1386-09-04,2,0
1386-09-05,1,0
1386-09-06,4,0
1386-09-07,2,0
1386-09-08,1,0
1386-09-09,4,0
1386-09-11,1,0
1386-09-12,1,0
1386-09-15,1,0
1386-09-16,1,0
1386-09-18,4,0
1386-09-20,4,0
1386-09-21,2,0
1386-09-22,2,0
1386-09-23,2,0
1386-09-24,2,0
1386-09-25,2,0
1386-09-26,1,0
1386-09-27,1,0
1386-09-28,1,0
1386-09-29,2,0
1386-09-30,2,0
1386-10-01,2,0
1386-10-02,2,0
1386-10-03,2,0
1386-10-04,4,0
1386-10-05,1,0
1386-10-06,5,0
1386-10-07,3,0
1386-10-08,2,0
1386-10-10,2,0
1386-10-11,2,0
1386-10-12,4,0
1386-10-13,3,0
1386-10-14,2,0
1386-10-15,1,0
1386-10-17,3,0
1386-10-19,2,0
1386-10-20,2,0
1386-10-21,1,0
1386-10-23,2,0
1386-10-24,2,0
1386-10-26,2,0
1386-10-27,3,0
1386-10-28,6,0
1386-10-29,1,0
1386-11-01,2,0
1386-11-02,7,0
1386-11-03,5,0
1386-11-04,1,0
1386-11-05,2,0
1386-11-07,3,0
1386-11-08,1,0
1386-11-09,3,0
1386-11-10,1,0
1386-11-12,3,0
1386-11-13,5,0
1386-11-15,3,0
1386-11-17,1,0
1386-11-18,6,0
1386-11-19,4,0
1386-11-20,4,0
1386-11-21,3,0
1386-11-22,4,0
1386-11-23,3,0
1386-11-24,3,0
1386-11-25,1,0
1386-11-26,2,0
1386-11-27,6,0
1386-11-28,1,0
1386-11-29,4,0
1386-11-30,4,0
1386-12-01,2,0
1386-12-02,2,0
1386-12-03,4,0
1386-12-04,2,0
1386-12-05,1,0
1386-12-06,5,0
1386-12-07,3,0
1386-12-08,1,0
1386-12-09,4,0
1386-12-10,4,0
1386-12-11,1,0
1386-12-12,5,0
1386-12-13,2,0
1386-12-15,3,0
1386-12-16,1,0
1386-12-17,5,0
1386-12-18,3,0
1386-12-19,3,0
1386-12-20,2,0
1386-12-21,1,0
1386-12-22,4,0
1386-12-23,2,0
1386-12-24,1,0
1386-12-25,3,0
1386-12-26,1,0
1386-12-27,1,0
1386-12-28,3,0
1386-12-29,3,0
1386-12-30,2,0
1387-01-01,2,0
1387-01-05,1,0
1387-01-06,3,0
1387-01-07,3,0
1387-01-08,1,0
1387-01-09,2,0
1387-01-10,3,0
1387-01-11,1,0
1387-01-12,3,0
1387-01-13,1,0
1387-01-14,3,0
1387-01-15,1,0
1387-01-16,3,0
1387-01-17,2,0
1387-01-18,1,0
1387-01-19,1,0
1387-01-20,1,0
1387-01-21,1,0
1387-01-22,3,0
1387-01-23,2,0
1387-01-24,4,0
1387-01-25,5,0
1387-01-26,1,0
1387-01-27,2,0
1387-01-28,2,0
1387-01-29,3,0
1387-02-01,3,0
1387-02-02,1,0
1387-02-03,1,0
1387-02-04,2,0
1387-02-05,1,0
1387-02-06,2,0
1387-02-08,3,0
