violation_date,paid_violations,unpaid_violations
17 شعبان 1383,1,0
19 شعبان 1383,1,0
21 شعبان 1383,1,0
22 شعبان 1383,1,0
23 شعبان 1383,1,0
26 شعبان 1383,2,0
27 شعبان 1383,1,0
1 رمضان 1383,2,0
3 رمضان 1383,2,0
5 رمضان 1383,1,0
14 رمضان 1383,1,0
23 رمضان 1383,1,0
25 رمضان 1383,1,0
27 رمضان 1383,1,0
28 رمضان 1383,2,0
29 رمضان 1383,1,0
1 شوال 1383,1,0
4 شوال 1383,1,0
9 شوال 1383,1,0
11 شوال 1383,1,0
17 شوال 1383,1,0
18 شوال 1383,1,0
19 شوال 1383,1,0
21 شوال 1383,1,0
25 شوال 1383,1,0
29 شوال 1383,1,0
2 ذو القعدة 1383,1,0
3 ذو القعدة 1383,2,0
10 ذو القعدة 1383,2,0
11 ذو القعدة 1383,1,0
12 ذو القعدة 1383,2,0
13 ذو القعدة 1383,1,0
15 ذو القعدة 1383,1,0
20 ذو القعدة 1383,2,0
25 ذو القعدة 1383,1,0
30 ذو القعدة 1383,1,0
5 ذو الحجة 1383,1,0
6 ذو الحجة 1383,1,0
7 ذو الحجة 1383,1,0
8 ذو الحجة 1383,1,0
9 ذو الحجة 1383,1,0
13 ذو الحجة 1383,1,0
14 ذو الحجة 1383,1,0
15 ذو الحجة 1383,2,0
17 ذو الحجة 1383,3,0
20 ذو الحجة 1383,1,0
22 ذو الحجة 1383,1,0
26 ذو الحجة 1383,1,0
27 ذو الحجة 1383,1,0
28 ذو الحجة 1383,1,0
29 ذو الحجة 1383,1,0
4 محرم 1384,2,0
5 محرم 1384,1,0
9 محرم 1384,1,0
12 محرم 1384,1,0
14 محرم 1384,1,0
15 محرم 1384,1,0
17 محرم 1384,1,0
18 محرم 1384,1,0
19 محرم 1384,1,0
21 محرم 1384,1,0
23 محرم 1384,1,0
25 محرم 1384,1,0
28 محرم 1384,1,0
29 محرم 1384,1,0
3 صفر 1384,1,0
5 صفر 1384,1,0
8 صفر 1384,1,0
11 صفر 1384,1,0
12 صفر 1384,2,0
16 صفر 1384,2,0
18 صفر 1384,1,0
22 صفر 1384,1,0
24 صفر 1384,1,0
26 صفر 1384,2,0
28 صفر 1384,1,0
1 ربيع الأول 1384,2,0
5 ربيع الأول 1384,2,0
7 ربيع الأول 1384,2,0
8 ربيع الأول 1384,1,0
12 ربيع الأول 1384,2,0
13 ربيع الأول 1384,1,0
16 ربيع الأول 1384,2,0
19 ربيع الأول 1384,1,0
22 ربيع الأول 1384,1,0
24 ربيع الأول 1384,1,0
27 ربيع الأول 1384,1,0
28 ربيع الأول 1384,1,0
6 ربيع الآخر 1384,1,0
7 ربيع الآخر 1384,2,0
9 ربيع الآخر 1384,1,0
13 ربيع الآخر 1384,2,0
14 ربيع الآخر 1384,1,0
17 ربيع الآخر 1384,1,0
22 ربيع الآخر 1384,1,0
23 ربيع الآخر 1384,2,0
27 ربيع الآخر 1384,2,0
28 ربيع الآخر 1384,1,0
2 جمادى الأولى 1384,1,0
8 جمادى الأولى 1384,2,0
9 جمادى الأولى 1384,1,0
13 جمادى الأولى 1384,1,0
15 جمادى الأولى 1384,1,0
16 جمادى الأولى 1384,1,0
19 جمادى الأولى 1384,1,0
20 جمادى الأولى 1384,1,0
22 جمادى الأولى 1384,1,0
23 جمادى الأولى 1384,1,0
24 جمادى الأولى 1384,1,0
30 جمادى الأولى 1384,1,0
1 جمادى الآخرة 1384,2,0
2 جمادى الآخرة 1384,2,0
6 جمادى الآخرة 1384,1,0
7 جمادى الآخرة 1384,1,0
9 جمادى الآخرة 1384,1,0
11 جمادى الآخرة 1384,1,0
12 جمادى الآخرة 1384,1,0
13 جمادى الآخرة 1384,1,0
18 جمادى الآخرة 1384,1,0
21 جمادى الآخرة 1384,1,0
22 جمادى الآخرة 1384,1,0
24 جمادى الآخرة 1384,1,0
25 جمادى الآخرة 1384,1,0
28 جمادى الآخرة 1384,1,0
1 رجب 1384,2,0
5 رجب 1384,1,0
7 رجب 1384,2,0
11 رجب 1384,4,0
13 رجب 1384,1,0
14 رجب 1384,1,0
15 رجب 1384,1,0
16 رجب 1384,1,0
17 رجب 1384,1,0
18 رجب 1384,1,0
24 رجب 1384,3,0
26 رجب 1384,1,0
6 شعبان 1384,2,0
