death_date,death_count
١٤٤٥/٠٦/١٩,40
١٤٤٥/٠٦/٢٠,49
١٤٤٥/٠٦/٢١,45
١٤٤٥/٠٦/٢٢,40
١٤٤٥/٠٦/٢٣,52
١٤٤٥/٠٦/٢٤,36
١٤٤٥/٠٦/٢٥,49
١٤٤٥/٠٦/٢٦,40
١٤٤٥/٠٦/٢٧,48
١٤٤٥/٠٦/٢٨,52
١٤٤٥/٠٦/٢٩,54
١٤٤٥/٠٦/٣٠,48
١٤٤٥/٠٧/٠١,45
١٤٤٥/٠٧/٠٢,59
١٤٤٥/٠٧/٠٣,41
١٤٤٥/٠٧/٠٤,47
١٤٤٥/٠٧/٠٥,43
١٤٤٥/٠٧/٠٦,54
١٤٤٥/٠٧/٠٧,54
١٤٤٥/٠٧/٠٨,52
١٤٤٥/٠٧/٠٩,45
١٤٤٥/٠٧/١٠,47
١٤٤٥/٠٧/١١,59
١٤٤٥/٠٧/١٢,45
١٤٤٥/٠٧/١٣,45
١٤٤٥/٠٧/١٤,47
١٤٤٥/٠٧/١٥,55
١٤٤٥/٠٧/١٦,54
١٤٤٥/٠٧/١٧,41
١٤٤٥/٠٧/١٨,53
١٤٤٥/٠٧/١٩,48
١٤٤٥/٠٧/٢٠,46
١٤٤٥/٠٧/٢١,48
١٤٤٥/٠٧/٢٢,44
١٤٤٥/٠٧/٢٣,47
١٤٤٥/٠٧/٢٤,43
١٤٤٥/٠٧/٢٥,41
١٤٤٥/٠٧/٢٦,48
١٤٤٥/٠٧/٢٧,62
١٤٤٥/٠٧/٢٨,48
١٤٤٥/٠٧/٢٩,37
١٤٤٥/٠٨/٠١,50
١٤٤٥/٠٨/٠٢,43
١٤٤٥/٠٨/٠٣,58
١٤٤٥/٠٨/٠٤,58
١٤٤٥/٠٨/٠٥,53
١٤٤٥/٠٨/٠٦,50
١٤٤٥/٠٨/٠٧,45
١٤٤٥/٠٨/٠٨,45
١٤٤٥/٠٨/٠٩,56
١٤٤٥/٠٨/١٠,54
١٤٤٥/٠٨/١١,53
١٤٤٥/٠٨/١٢,37
١٤٤٥/٠٨/١٣,49
١٤٤٥/٠٨/١٤,45
١٤٤٥/٠٨/١٥,43
١٤٤٥/٠٨/١٦,48
١٤٤٥/٠٨/١٧,41
١٤٤٥/٠٨/١٨,41
١٤٤٥/٠٨/١٩,37
١٤٤٥/٠٨/٢٠,48
١٤٤٥/٠٨/٢١,54
١٤٤٥/٠٨/٢٢,47
١٤٤٥/٠٨/٢٣,41
١٤٤٥/٠٨/٢٤,47
١٤٤٥/٠٨/٢٥,50
١٤٤٥/٠٨/٢٦,52
١٤٤٥/٠٨/٢٧,39
١٤٤٥/٠٨/٢٨,46
١٤٤٥/٠٨/٢٩,36
١٤٤٥/٠٩/٠١,37
١٤٤٥/٠٩/٠٢,53
١٤٤٥/٠٩/٠٣,50
١٤٤٥/٠٩/٠٤,36
١٤٤٥/٠٩/٠٥,51
١٤٤٥/٠٩/٠٦,52
١٤٤٥/٠٩/٠٧,43
١٤٤٥/٠٩/٠٨,48
١٤٤٥/٠٩/٠٩,57
١٤٤٥/٠٩/١٠,50
١٤٤٥/٠٩/١١,42
١٤٤٥/٠٩/١٢,60
١٤٤٥/٠٩/١٣,48
١٤٤٥/٠٩/١٤,48
١٤٤٥/٠٩/١٥,47
١٤٤٥/٠٩/١٦,69
١٤٤٥/٠٩/١٧,57
١٤٤٥/٠٩/١٨,45
١٤٤٥/٠٩/١٩,41
