violation_date,paid_violations,unpaid_violations,total_violations
17 شعبان 1383,1,0,1
19 شعبان 1383,1,0,1
21 شعبان 1383,1,0,1
22 شعبان 1383,1,0,1
23 شعبان 1383,1,0,1
26 شعبان 1383,2,0,2
27 شعبان 1383,1,0,1
1 رمضان 1383,2,0,2
3 رمضان 1383,2,0,2
5 رمضان 1383,1,0,1
14 رمضان 1383,1,0,1
23 رمضان 1383,1,0,1
25 رمضان 1383,1,0,1
27 رمضان 1383,1,0,1
28 رمضان 1383,2,0,2
29 رمضان 1383,1,0,1
1 شوال 1383,1,0,1
4 شوال 1383,1,0,1
9 شوال 1383,1,0,1
11 شوال 1383,1,0,1
17 شوال 1383,1,0,1
18 شوال 1383,1,0,1
19 شوال 1383,1,0,1
21 شوال 1383,1,0,1
25 شوال 1383,1,0,1
29 شوال 1383,1,0,1
2 ذو القعدة 1383,1,0,1
3 ذو القعدة 1383,2,0,2
10 ذو القعدة 1383,2,0,2
11 ذو القعدة 1383,1,0,1
12 ذو القعدة 1383,2,0,2
13 ذو القعدة 1383,1,0,1
15 ذو القعدة 1383,1,0,1
20 ذو القعدة 1383,2,0,2
25 ذو القعدة 1383,1,0,1
30 ذو القعدة 1383,1,0,1
5 ذو الحجة 1383,1,0,1
6 ذو الحجة 1383,1,0,1
7 ذو الحجة 1383,1,0,1
8 ذو الحجة 1383,1,0,1
9 ذو الحجة 1383,1,0,1
13 ذو الحجة 1383,1,0,1
14 ذو الحجة 1383,1,0,1
15 ذو الحجة 1383,2,0,2
17 ذو الحجة 1383,3,0,3
20 ذو الحجة 1383,1,0,1
22 ذو الحجة 1383,1,0,1
26 ذو الحجة 1383,1,0,1
27 ذو الحجة 1383,1,0,1
28 ذو الحجة 1383,1,0,1
29 ذو الحجة 1383,1,0,1
4 محرم 1384,2,0,2
5 محرم 1384,1,0,1
9 محرم 1384,1,0,1
12 محرم 1384,1,0,1
14 محرم 1384,1,0,1
15 محرم 1384,1,0,1
17 محرم 1384,1,0,1
18 محرم 1384,1,0,1
19 محرم 1384,1,0,1
21 محرم 1384,1,0,1
23 محرم 1384,1,0,1
25 محرم 1384,1,0,1
28 محرم 1384,1,0,1
29 محرم 1384,1,0,1
3 صفر 1384,1,0,1
5 صفر 1384,1,0,1
8 صفر 1384,1,0,1
11 صفر 1384,1,0,1
12 صفر 1384,2,0,2
16 صفر 1384,2,0,2
18 صفر 1384,1,0,1
22 صفر 1384,1,0,1
24 صفر 1384,1,0,1
26 صفر 1384,2,0,2
28 صفر 1384,1,0,1
1 ربيع الأول 1384,2,0,2
5 ربيع الأول 1384,2,0,2
7 ربيع الأول 1384,2,0,2
8 ربيع الأول 1384,1,0,1
12 ربيع الأول 1384,2,0,2
13 ربيع الأول 1384,1,0,1
16 ربيع الأول 1384,2,0,2
19 ربيع الأول 1384,1,0,1
22 ربيع الأول 1384,1,0,1
24 ربيع الأول 1384,1,0,1
27 ربيع الأول 1384,1,0,1
28 ربيع الأول 1384,1,0,1
6 ربيع الآخر 1384,1,0,1
7 ربيع الآخر 1384,2,0,2
9 ربيع الآخر 1384,1,0,1
13 ربيع الآخر 1384,2,0,2
14 ربيع الآخر 1384,1,0,1
17 ربيع الآخر 1384,1,0,1
22 ربيع الآخر 1384,1,0,1
23 ربيع الآخر 1384,2,0,2
27 ربيع الآخر 1384,2,0,2
28 ربيع الآخر 1384,1,0,1
2 جمادى الأولى 1384,1,0,1
8 جمادى الأولى 1384,2,0,2
9 جمادى الأولى 1384,1,0,1
13 جمادى الأولى 1384,1,0,1
15 جمادى الأولى 1384,1,0,1
16 جمادى الأولى 1384,1,0,1
19 جمادى الأولى 1384,1,0,1
20 جمادى الأولى 1384,1,0,1
22 جمادى الأولى 1384,1,0,1
23 جمادى الأولى 1384,1,0,1
24 جمادى الأولى 1384,1,0,1
30 جمادى الأولى 1384,1,0,1
1 جمادى الآخرة 1384,2,0,2
2 جمادى الآخرة 1384,2,0,2
6 جمادى الآخرة 1384,1,0,1
7 جمادى الآخرة 1384,1,0,1
9 جمادى الآخرة 1384,1,0,1
11 جمادى الآخرة 1384,1,0,1
12 جمادى الآخرة 1384,1,0,1
13 جمادى الآخرة 1384,1,0,1
18 جمادى الآخرة 1384,1,0,1
21 جمادى الآخرة 1384,1,0,1
22 جمادى الآخرة 1384,1,0,1
24 جمادى الآخرة 1384,1,0,1
25 جمادى الآخرة 1384,1,0,1
28 جمادى الآخرة 1384,1,0,1
1 رجب 1384,2,0,2
5 رجب 1384,1,0,1
7 رجب 1384,2,0,2
11 رجب 1384,4,0,4
13 رجب 1384,1,0,1
14 رجب 1384,1,0,1
15 رجب 1384,1,0,1
16 رجب 1384,1,0,1
17 رجب 1384,1,0,1
18 رجب 1384,1,0,1
24 رجب 1384,3,0,3
26 رجب 1384,1,0,1
6 شعبان 1384,2,0,2
7 شعبان 1384,1,0,1
8 شعبان 1384,1,0,1
11 شعبان 1384,1,0,1
12 شعبان 1384,2,0,2
13 شعبان 1384,1,0,1
20 شعبان 1384,2,0,2
22 شعبان 1384,1,0,1
23 شعبان 1384,2,0,2
24 شعبان 1384,1,0,1
29 شعبان 1384,1,0,1
1 رمضان 1384,2,0,2
2 رمضان 1384,1,0,1
3 رمضان 1384,2,0,2
6 رمضان 1384,3,0,3
7 رمضان 1384,2,0,2
9 رمضان 1384,1,0,1
10 رمضان 1384,1,0,1
15 رمضان 1384,1,0,1
16 رمضان 1384,1,0,1
17 رمضان 1384,1,0,1
18 رمضان 1384,1,0,1
20 رمضان 1384,1,0,1
23 رمضان 1384,3,0,3
24 رمضان 1384,2,0,2
25 رمضان 1384,3,0,3
26 رمضان 1384,2,0,2
28 رمضان 1384,2,0,2
29 رمضان 1384,3,0,3
30 رمضان 1384,1,0,1
4 شوال 1384,1,0,1
5 شوال 1384,4,0,4
6 شوال 1384,4,0,4
7 شوال 1384,2,0,2
8 شوال 1384,2,0,2
9 شوال 1384,2,0,2
11 شوال 1384,2,0,2
15 شوال 1384,2,0,2
16 شوال 1384,2,0,2
18 شوال 1384,1,0,1
19 شوال 1384,2,0,2
21 شوال 1384,3,0,3
22 شوال 1384,1,0,1
23 شوال 1384,2,0,2
24 شوال 1384,1,0,1
26 شوال 1384,1,0,1
29 شوال 1384,1,0,1
1 ذو القعدة 1384,3,0,3
2 ذو القعدة 1384,1,0,1
3 ذو القعدة 1384,1,0,1
4 ذو القعدة 1384,1,0,1
6 ذو القعدة 1384,1,0,1
7 ذو القعدة 1384,2,0,2
8 ذو القعدة 1384,1,0,1
9 ذو القعدة 1384,1,0,1
12 ذو القعدة 1384,1,0,1
13 ذو القعدة 1384,2,0,2
15 ذو القعدة 1384,4,0,4
16 ذو القعدة 1384,4,0,4
17 ذو القعدة 1384,1,0,1
18 ذو القعدة 1384,1,0,1
20 ذو القعدة 1384,1,0,1
21 ذو القعدة 1384,2,0,2
22 ذو القعدة 1384,1,0,1
23 ذو القعدة 1384,1,0,1
24 ذو القعدة 1384,2,0,2
25 ذو القعدة 1384,1,0,1
27 ذو القعدة 1384,2,0,2
29 ذو القعدة 1384,2,0,2
30 ذو القعدة 1384,1,0,1
4 ذو الحجة 1384,2,0,2
6 ذو الحجة 1384,3,0,3
8 ذو الحجة 1384,1,0,1
9 ذو الحجة 1384,1,0,1
11 ذو الحجة 1384,4,0,4
12 ذو الحجة 1384,1,0,1
13 ذو الحجة 1384,2,0,2
17 ذو الحجة 1384,1,0,1
18 ذو الحجة 1384,1,0,1
19 ذو الحجة 1384,1,0,1
23 ذو الحجة 1384,2,0,2
25 ذو الحجة 1384,1,0,1
27 ذو الحجة 1384,2,0,2
29 ذو الحجة 1384,1,0,1
1 محرم 1385,1,0,1
2 محرم 1385,3,0,3
3 محرم 1385,1,0,1
5 محرم 1385,1,0,1
9 محرم 1385,1,0,1
10 محرم 1385,2,0,2
11 محرم 1385,1,0,1
15 محرم 1385,1,0,1
17 محرم 1385,1,0,1
19 محرم 1385,2,0,2
20 محرم 1385,2,0,2
22 محرم 1385,1,0,1
23 محرم 1385,2,0,2
24 محرم 1385,2,0,2
25 محرم 1385,1,0,1
26 محرم 1385,2,0,2
29 محرم 1385,2,0,2
30 محرم 1385,1,0,1
1 صفر 1385,1,0,1
4 صفر 1385,1,0,1
5 صفر 1385,1,0,1
6 صفر 1385,2,0,2
9 صفر 1385,2,0,2
10 صفر 1385,2,0,2
11 صفر 1385,1,0,1
12 صفر 1385,2,0,2
13 صفر 1385,2,0,2
15 صفر 1385,1,0,1
16 صفر 1385,3,0,3
17 صفر 1385,2,0,2
18 صفر 1385,1,0,1
19 صفر 1385,1,0,1
21 صفر 1385,1,0,1
22 صفر 1385,2,0,2
25 صفر 1385,2,0,2
26 صفر 1385,1,0,1
